Species_ID,Status,Create_time,Modify_time,EDGE_Group,Type,EDGE_rank,Species_class,Species_order,Species_family,Scientific_name,Synonym,Common_name,ED_score,GE_score,EDGE_score,Short_summary,Summary,Other_names,Edgeometer,Possibly_extinct,Focus_species,Search_countries,Generate_countries,Aquatic_regions
591,Publish,NULL,NULL,Amphibians,EDGE,46,Amphibia,Caudata,Hynobiidae,Paradactylodon mustersi,,Paghman Mountain Salamander,20.04571109,CR,5.819285513,"Vulnerable to climate change, this mountain species is declining at lower elevations.",,,None,N,N,Afghanistan,,
851,Publish,NULL,NULL,Amphibians,EDGE,306,Amphibia,Caudata,Salamandridae,Pleurodeles poireti,,Algerian ribbed newt,17.24425723,EN,4.9832919,,,,,,,Algeria ,,
1009,Publish,NULL,NULL,Amphibians,EDGE,463=,Amphibia,Caudata,Salamandridae,Salamandra algira,,North African fire salamander,24.27175349,VU,4.61598167,,,,,,,"Algeria 
Morocco 
Spain",,
1166,Publish,NULL,NULL,Amphibians,EDGE,621,Amphibia,Caudata,Salamandridae,Pleurodeles nebulosus,,Algerian ribbed newt,17.24425723,VU,4.290144719,,,,,,,"Algeria 
Tunisia",,
1377,Publish,23/02/2010 16:04,23/02/2010 16:04,Amphibians,Other,958,Amphibia,Anura,Alytidae,Discoglossus pictus,,Painted frog,78.76488413,LC,4.379083359,Painted frogs have elaborate patterns on their skin.,,,,N,N,"Algeria, Tunisia, Malta, Italy, France, Spain",,
27,Publish,NULL,12/11/2010 15:29,Mammals,EDGE,22,Mammalia,Carnivora,Phocidae,Monachus monachus,,Mediterranean Monk Seal,16.79398976,CR,5.65144947,"Revered by the ancient Greeks, this shy seal is today one of the world's most threatened marine mammals. ",,,Active,N,N,"Algeria; Greece; Mauritania; Portugal (Azores - Regionally Extinct, Madeira - Regionally Extinct, Portugal (mainland) - Regionally Extinct); Turkey; Western Sahara",Bolivia,"Atlantic-eastern central
Mediterranean and Black Sea"
1860,Publish,06/01/2011 20:02,19/01/2011 11:52,Coral reef,Other,NULL,Anthozoa,Scleractinia,Faviidae,Plesiastrea versipora,NULL,Plesiastrea versipora,NULL,LC,NULL,Plesiastrea versipora is distributed widely across the Indo-Pacific including high latitude areas,NULL,NULL,NULL,N,N,"American Samoa, Australia, Bahrain, British Indian Ocean Territory, Cambodia, Chile, China, Christmas Island, Cocos Islands, Comoros, Cook Islands, Djibouti, Egypt, Eritrea, Fiji, French Polynesia, India, Indonesia, Iran, Iraq, Israel, Japan, Jordan, Kenya, Kiribati, Kuwait, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritius, Mayotte, Micronesia, Mozambique, Myanmar, Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Papua New Guinea, Philippines, Pitcairn, Qatar, RÃ©union, Samoa, Saudi Arabia, Seychelles, Singapore, Solomon Islands, Somalia, South Africa, Sri Lanka, Sudan, Taiwan, Tanzania, Thailand; Tokelau, Tonga, Tuvalu, United Arab Emirates, United States Minor Outlying Islands, Vanuatu, Viet Nam, Wallis and Futuna, Yemen.",NULL,"Red Sea, Gulf of Aden, Indian Ocean, Pacific Ocean."
1865,Publish,06/01/2011 20:04,19/01/2011 11:55,Coral reef,Potential,NULL,Anthozoa,Scleractinia,Poritidae,Stylaraea punctata,NULL,Stylaraea punctata,NULL,DD,NULL,Stylaraea punctata is the smallest of all known hard corals.,NULL,NULL,None,N,N,"American Samoa, Australia, British Indian Ocean Territory, Comoros, Egypt, India, Indonesia, Israel, Japan, Jordan, Kenya, Madagascar, Malaysia, Mauritius, Mayotte, Micronesia, Mozambique, Northern Mariana Islands, Palau, Papua New Guinea, Philippines, Réunion, Samoa, Saudi Arabia, Seychelles, Singapore, Somalia, Sri Lanka, Tanzania, Thailand.",NULL,"Red Sea, Indian Ocean and Pacific Ocean."
161,Publish,NULL,13/04/2012 11:32,Mammals,EDGE,69,Mammalia,Primates,Hominidae,Gorilla gorilla,,Western Gorilla,11.21914344,CR,5.27559258,The heavily built gorilla is the largest of the living apes.,"Numbering a few hundred individuals, the subspecies Gorilla gorilla diehli is the world’s most endangered great ape.",Lowland Gorilla,Active,N,N,Angola (Cabinda); Cameroon; Central African Republic; Congo; Equatorial Guinea; Gabon; Nigeria,Northern Mariana Islands,
137,Publish,NULL,NULL,Mammals,Other,137,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus amphibious,,Hippopotamus,37.15527864,VU,5.027958475,,,,,,,"Angola
Benin
Botswana
Burkina Faso
Burundi
Cameroon
Central African Republic
Chad
Congo
Congo Democratic Republic
Cote dIvoire
Equatorial Guinea
Ethiopia
Gabon
Gambia
Ghana
Guinea
Guinea-Bissau
Kenya
Liberia
Malawi
Mali
Mozambique
Namibia
Niger
Nigeria
Rw",Mauritius,"Lake Baringo, Lake Naivasha
Lake Malawi
Lake Tanganyika
Lake Victoria"
